Frame,Length
1,267.87
51,267.1
101,265.85
151,264.12
201,263.24
251,257.61
301,259.23
351,258.64
401,255.21
451,254.92
501,251.49
551,250.47
601,246.68
651,259.24
701,247.38
751,243.28
801,243.45
851,241.39
901,246.04
951,239.83
1001,236.29
1051,239.08
1101,233.97
1151,235.23
1201,231.09
1251,233.44
1301,229.76
1351,228.87
1401,230.54
1451,225.72
1501,241.09
1551,222.03
1601,222.04
1651,225.46
1701,219.23
1751,222.99
1801,218.45
1851,229.88
1901,216.2
1951,216.73
2001,225.74
2051,215.78
2101,214.46
2151,214.83
2201,221.33
2251,215.33
2301,210.84
2351,211.81
2401,221.29
2451,214.23
2501,212.55
2551,218.37
2601,238.71
2651,248.9
